Sample,Image_tag,image_path,Prediction,Confidence
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0008).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0008).png",a2c,0.809
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0012).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0012).png",a2c,0.692
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0013).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0013).png",a2c,0.861
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0016).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0016).png",a2c,0.878
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0018).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0018).png",a2c,0.498
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0020).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0020).png",a2c,0.741
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0021).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0021).png",a2c,0.864
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0023).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0023).png",a2c,0.903
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 002a).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 002a).png",a2c,0.910
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0030).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0030).png",a2c,0.727
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0031).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0031).png",a2c,0.831
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0033).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0033).png",a2c,0.897
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0050).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0050).png",a2c,0.903
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0060).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0060).png",a2c,0.831
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0068).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0068).png",a2c,0.730
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0070).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0070).png",a2c,0.500
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0080).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0080).png",a2c,0.703
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 0090).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 0090).png",a2c,0.612
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 1010).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 1010).png",a2c,0.536
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 1030).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 1030).png",a2c,0.822
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 1048).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 1048).png",a2c,0.900
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 1070).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 1070).png",a2c,0.569
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 1090).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 1090).png",a2c,0.510
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 1111).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 1111).png",a2c,0.909
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 2111).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 2111).png",a2c,0.824
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0008, 2144).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0008, 2144).png",a2c,0.692
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0010, 0010).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0010, 0010).png",a2c,0.776
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0010, 0020).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0010, 0020).png",a2c,0.872
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0010, 0030).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0010, 0030).png",a2c,0.866
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0010, 0040).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0010, 0040).png",a2c,0.835
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0010, 4000).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0010, 4000).png",a2c,0.917
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0018, 0040).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0018, 0040).png",a2c,0.915
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0018, 1000).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0018, 1000).png",a2c,0.890
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0018, 1020).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0018, 1020).png",a2c,0.889
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0018, 1030).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0018, 1030).png",a2c,0.953
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0018, 1063).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0018, 1063).png",a2c,0.826
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0018, 1088).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0018, 1088).png",a2c,0.849
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0018, 5010).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0018, 5010).png",a2c,0.774
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0018, 5020).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0018, 5020).png",a2c,0.491
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0018, 6011).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0018, 6011).png",a2c,0.708
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0020, 000d).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0020, 000d).png",a2c,0.532
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0020, 000e).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0020, 000e).png",a2c,0.822
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0020, 0010).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0020, 0010).png",a2c,0.728
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0020, 0011).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0020, 0011).png",a2c,0.682
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0020, 0013).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0020, 0013).png",a2c,0.723
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 0002).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 0002).png",a2c,0.712
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 0004).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 0004).png",a2c,0.860
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 0006).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 0006).png",a2c,0.653
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 0008).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 0008).png",a2c,0.732
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 0009).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 0009).png",a2c,0.704
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 0010).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 0010).png",a2c,0.474
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 0011).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 0011).png",a2c,0.489
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 0014).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 0014).png",a2c,0.693
1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002,"(0028, 0030).png","1.2.840.113663.1500.185026841092894878791319844862664559____IM_0002\(0028, 0030).png",a2c,0.859
